#q 	 Iexp 	 Ifit_avg 	 Residuals_avg 	 Ifit_weightedavg 	 Residuals_weightedavg 
5.698000e-03 	5.221900e-04 	5.350300e-04 	-8.084395e-02 	5.350541e-04 	-8.099554e-02 
5.998000e-03 	5.292800e-04 	5.334981e-04 	-3.107804e-02 	5.336013e-04 	-3.183851e-02 
6.298000e-03 	5.042800e-04 	5.319640e-04 	-3.183670e-01 	5.321463e-04 	-3.204641e-01 
6.598000e-03 	5.179700e-04 	5.304274e-04 	-1.969128e-01 	5.306891e-04 	-2.010494e-01 
6.897000e-03 	5.063400e-04 	5.288872e-04 	-3.926295e-01 	5.292284e-04 	-3.985714e-01 
7.197000e-03 	5.285600e-04 	5.273421e-04 	2.672025e-02 	5.277632e-04 	1.748116e-02 
7.497000e-03 	5.243600e-04 	5.257909e-04 	-3.543573e-02 	5.262923e-04 	-4.785308e-02 
7.797000e-03 	5.105600e-04 	5.242323e-04 	-4.026763e-01 	5.248145e-04 	-4.198204e-01 
8.097000e-03 	5.382500e-04 	5.226653e-04 	5.386576e-01 	5.233287e-04 	5.157284e-01 
8.397000e-03 	5.149500e-04 	5.210885e-04 	-2.463677e-01 	5.218338e-04 	-2.762814e-01 
8.697000e-03 	5.136500e-04 	5.195006e-04 	-2.621624e-01 	5.203285e-04 	-2.992596e-01 
8.997000e-03 	5.285300e-04 	5.179006e-04 	5.252472e-01 	5.188119e-04 	4.802158e-01 
9.297000e-03 	5.046100e-04 	5.162872e-04 	-6.851179e-01 	5.172827e-04 	-7.435260e-01 
9.596000e-03 	5.130300e-04 	5.146591e-04 	-1.074952e-01 	5.157397e-04 	-1.787999e-01 
9.896000e-03 	5.249600e-04 	5.130152e-04 	8.626756e-01 	5.141820e-04 	7.784075e-01 
1.019600e-02 	5.235800e-04 	5.113541e-04 	9.243711e-01 	5.126081e-04 	8.295564e-01 
1.049600e-02 	5.284800e-04 	5.096748e-04 	1.509988e+00 	5.110172e-04 	1.402194e+00 
1.079600e-02 	5.218500e-04 	5.079760e-04 	1.183317e+00 	5.094080e-04 	1.061175e+00 
1.109600e-02 	5.175400e-04 	5.062564e-04 	1.055971e+00 	5.077795e-04 	9.134348e-01 
1.139600e-02 	5.091700e-04 	5.045148e-04 	5.005124e-01 	5.061302e-04 	3.268270e-01 
1.169600e-02 	5.117800e-04 	5.027501e-04 	1.024577e+00 	5.044594e-04 	8.306389e-01 
1.199600e-02 	5.085200e-04 	5.009610e-04 	9.009087e-01 	5.027656e-04 	6.858286e-01 
1.229500e-02 	5.081700e-04 	4.991463e-04 	1.166831e+00 	5.010479e-04 	9.209379e-01 
1.259500e-02 	5.019100e-04 	4.973047e-04 	5.932606e-01 	4.993050e-04 	3.355761e-01 
1.289500e-02 	5.037000e-04 	4.954351e-04 	1.132981e+00 	4.975359e-04 	8.449920e-01 
