# Nygaard Kirkwood HullRad SAXS_weights
2.939068786365526709e+00 2.216250419616699219e+00 2.689999999999999947e+00 2.406500000000000083e-05
2.370034842267394470e+00 1.859828114509582520e+00 2.330000000000000071e+00 1.121299999999999962e-06
2.609315311639714974e+00 2.136205196380615234e+00 2.568999999999999950e+00 6.544000000000000365e-06
2.807215237902870975e+00 2.090788841247558594e+00 2.701999999999999957e+00 8.641899999999999371e-06
2.782371883903653753e+00 2.056204557418823242e+00 2.771999999999999797e+00 5.103800000000000161e-06
2.895041215431791937e+00 2.193241119384765625e+00 2.818999999999999950e+00 1.252499999999999951e-05
2.619047965863462668e+00 2.063328981399536133e+00 2.476999999999999869e+00 3.584900000000000185e-06
3.285441673208400637e+00 2.591291427612304688e+00 2.983000000000000096e+00 1.481700000000000129e-04
2.942762647101946349e+00 2.258023262023925781e+00 2.721000000000000085e+00 2.653300000000000160e-05
3.021090491554075275e+00 2.452021121978759766e+00 3.016999999999999904e+00 9.819299999999999990e-05
2.708543524344421805e+00 2.140373945236206055e+00 2.476999999999999869e+00 1.023300000000000011e-05
3.203854631978158007e+00 2.417775392532348633e+00 2.963999999999999968e+00 7.300399999999999424e-05
2.548031623751660035e+00 2.113955259323120117e+00 2.629999999999999893e+00 4.966600000000000017e-06
2.729088041095180550e+00 2.304126262664794922e+00 2.762999999999999901e+00 3.362899999999999939e-05
2.979378034981226886e+00 2.356606960296630859e+00 2.951999999999999957e+00 7.336499999999999977e-05
2.656941134362101664e+00 2.124442815780639648e+00 2.591000000000000192e+00 1.208399999999999984e-05
3.038436212916693524e+00 2.381995201110839844e+00 2.749000000000000110e+00 6.264599999999999618e-05
3.017266875582269137e+00 2.319814920425415039e+00 2.821000000000000174e+00 3.279000000000000285e-05
2.525508376848022873e+00 1.984375476837158203e+00 2.402000000000000135e+00 3.508000000000000125e-06
2.815366526045240736e+00 2.282811880111694336e+00 2.741999999999999993e+00 4.224300000000000196e-05
2.655172194962939880e+00 2.093033790588378906e+00 2.545999999999999819e+00 7.050999999999999915e-06
3.103941473352988201e+00 2.370704412460327148e+00 2.902000000000000135e+00 4.241900000000000163e-05
2.829966993680729459e+00 2.325605154037475586e+00 2.841000000000000192e+00 5.428000000000000208e-05
2.804025282571960265e+00 2.321170091629028320e+00 2.778999999999999915e+00 4.210899999999999951e-05
3.528009614002665106e+00 2.738594293594360352e+00 3.208000000000000185e+00 1.896099999999999956e-04
3.044244264856834636e+00 2.493232727050781250e+00 3.089999999999999858e+00 7.938299999999999534e-05
3.051221266564740020e+00 2.302314758300781250e+00 2.956999999999999851e+00 7.572000000000000009e-05
2.663612208838434192e+00 2.163988113403320312e+00 2.539000000000000146e+00 1.595900000000000085e-05
3.071514981259238830e+00 2.405089855194091797e+00 2.931999999999999940e+00 9.084799999999999484e-05
3.228580331693348793e+00 2.579293727874755859e+00 3.126999999999999780e+00 1.313599999999999891e-04
2.584910430543489124e+00 1.952692747116088867e+00 2.374000000000000110e+00 1.208699999999999964e-06
2.775013683457120184e+00 2.263620376586914062e+00 2.714999999999999858e+00 3.082100000000000188e-05
2.495582147787544613e+00 1.984934210777282715e+00 2.487000000000000099e+00 4.281599999999999799e-06
3.092148058489049944e+00 2.612870216369628906e+00 3.194999999999999840e+00 2.356199999999999972e-04
3.015216588377553020e+00 2.455547332763671875e+00 3.048000000000000043e+00 9.043100000000000205e-05
2.326268224945449159e+00 1.851654291152954102e+00 2.270999999999999908e+00 8.354400000000000217e-07
3.086470059620464834e+00 2.308238744735717773e+00 2.849000000000000199e+00 3.705100000000000152e-05
3.241008513847245975e+00 2.566359996795654297e+00 3.130999999999999783e+00 1.963799999999999866e-04
3.424301221467169309e+00 2.712638854980468750e+00 3.121999999999999886e+00 1.788199999999999989e-04
2.852224250018807972e+00 2.247639894485473633e+00 2.718999999999999861e+00 2.240400000000000098e-05
2.585204062204399911e+00 2.140172004699707031e+00 2.599000000000000199e+00 9.676700000000000034e-06
2.893272089832278571e+00 2.206704616546630859e+00 2.741999999999999993e+00 2.196599999999999941e-05
2.554568965954183035e+00 1.950239896774291992e+00 2.442000000000000171e+00 3.113699999999999936e-06
2.868846498331668826e+00 2.250311136245727539e+00 2.746999999999999886e+00 1.762500000000000151e-05
3.000935171499309995e+00 2.635600090026855469e+00 3.202999999999999847e+00 3.185099999999999845e-04
2.351003167746180011e+00 1.830509662628173828e+00 2.271999999999999797e+00 5.742800000000000311e-07
3.003509734038709578e+00 2.427000999450683594e+00 2.960999999999999854e+00 1.217800000000000029e-04
3.312714818679609152e+00 2.671556711196899414e+00 3.205000000000000071e+00 1.942699999999999950e-04
3.456592142203029905e+00 2.763820171356201172e+00 3.221000000000000085e+00 2.431900000000000077e-04
2.636782439361877728e+00 2.096122503280639648e+00 2.568000000000000060e+00 8.264799999999999203e-06
2.651517953860357046e+00 2.162022590637207031e+00 2.548999999999999932e+00 1.030900000000000074e-05
2.537098375344435386e+00 2.043756484985351562e+00 2.476999999999999869e+00 3.186600000000000119e-06
2.684054195201672322e+00 2.245941400527954102e+00 2.701999999999999957e+00 1.904000000000000066e-05
2.996672517193813778e+00 2.370670557022094727e+00 2.853000000000000203e+00 6.534400000000000321e-05
2.450007912930169063e+00 2.002163410186767578e+00 2.394000000000000128e+00 3.334500000000000007e-06
2.525051387610089293e+00 1.957448363304138184e+00 2.351999999999999869e+00 2.122299999999999992e-06
3.494563279049459403e+00 2.804951667785644531e+00 3.237999999999999989e+00 2.906799999999999749e-04
2.644061160072462613e+00 2.087179660797119141e+00 2.599000000000000199e+00 6.152499999999999962e-06
2.725901256623893154e+00 2.150512456893920898e+00 2.697999999999999954e+00 1.230000000000000082e-05
3.178642391623765384e+00 2.555068969726562500e+00 3.107000000000000206e+00 1.329799999999999906e-04
3.127272514614658050e+00 2.482858180999755859e+00 2.927999999999999936e+00 9.966600000000000426e-05
2.835416115328821096e+00 2.193768501281738281e+00 2.625999999999999890e+00 1.391000000000000065e-05
2.861031672329249709e+00 2.381649255752563477e+00 2.777000000000000135e+00 8.215000000000000459e-05
3.082044014006604549e+00 2.370141744613647461e+00 2.857000000000000206e+00 6.501299999999999571e-05
3.163939302591928460e+00 2.642923355102539062e+00 3.111000000000000210e+00 3.432900000000000014e-04
2.680132334460867405e+00 2.060428142547607422e+00 2.596999999999999975e+00 5.178899999999999662e-06
3.263580646247085326e+00 2.772870302200317383e+00 3.315999999999999837e+00 3.674799999999999985e-04
3.295203369745860478e+00 2.668790340423583984e+00 3.294999999999999929e+00 4.369500000000000228e-04
2.630379026069778359e+00 2.104019641876220703e+00 2.533999999999999808e+00 1.102500000000000032e-05
3.038637055696664202e+00 2.363455772399902344e+00 2.992999999999999883e+00 5.965100000000000198e-05
2.623983906390890297e+00 2.051136016845703125e+00 2.380999999999999783e+00 6.093500000000000189e-06
2.931203278834296100e+00 2.309564590454101562e+00 2.774000000000000021e+00 4.300499999999999907e-05
2.844074570745263930e+00 2.253455638885498047e+00 2.740000000000000213e+00 3.210600000000000059e-05
3.084299693284829225e+00 2.495257854461669922e+00 3.048999999999999932e+00 1.357899999999999992e-04
2.436691603132744799e+00 1.963137388229370117e+00 2.411999999999999922e+00 1.931700000000000072e-06
2.420395794548215740e+00 1.867620348930358887e+00 2.363999999999999879e+00 1.023099999999999996e-06
2.468461065128451093e+00 1.958582520484924316e+00 2.379000000000000004e+00 2.390800000000000047e-06
3.035412029082751317e+00 2.296314477920532227e+00 2.673999999999999932e+00 5.918100000000000140e-05
2.645096021128587882e+00 2.126488447189331055e+00 2.693999999999999950e+00 9.194600000000000025e-06
3.061154556937494942e+00 2.383300065994262695e+00 2.975000000000000089e+00 9.209699999999999592e-05
2.589646788858588344e+00 1.968775749206542969e+00 2.452999999999999847e+00 3.343800000000000071e-06
2.862214772490749848e+00 2.283425807952880859e+00 2.759999999999999787e+00 3.511400000000000296e-05
3.400882865558528145e+00 2.730364084243774414e+00 3.133000000000000007e+00 4.171299999999999856e-04
2.688480766310999304e+00 2.120528936386108398e+00 2.517999999999999794e+00 1.044400000000000029e-05
3.254242469703487295e+00 2.579092025756835938e+00 3.144000000000000128e+00 1.136799999999999958e-04
3.458177992053411920e+00 2.677638769149780273e+00 3.190999999999999837e+00 1.590399999999999952e-04
2.628599040473801107e+00 2.100483417510986328e+00 2.621999999999999886e+00 9.940599999999999320e-06
2.452747803238220392e+00 1.932993888854980469e+00 2.435999999999999943e+00 1.697600000000000060e-06
