# Nygaard Kirkwood HullRad SAXS_weights
4.148348931346687252e+00 3.145812034606933594e+00 3.838999999999999968e+00 9.544699999999999604e-05
3.889380530509725986e+00 3.075908660888671875e+00 3.617999999999999883e+00 7.757600000000000400e-05
3.752582257720106895e+00 3.152068853378295898e+00 3.349000000000000199e+00 4.681199999999999836e-05
3.350810923196702706e+00 2.572451829910278320e+00 2.626999999999999780e+00 1.605800000000000109e-05
3.246971264793805823e+00 2.654869318008422852e+00 3.516000000000000014e+00 4.512099999999999710e-05
2.961466196050185573e+00 2.365640640258789062e+00 4.115000000000000213e+00 9.021199999999999618e-05
3.518575292036095536e+00 2.989551782608032227e+00 4.200999999999999623e+00 1.055300000000000010e-04
3.799415041940000126e+00 3.142537355422973633e+00 3.805000000000000160e+00 9.067699999999999936e-05
3.936027276113871487e+00 3.083731412887573242e+00 3.951000000000000068e+00 9.214099999999999754e-05
3.120626180465596811e+00 2.582281827926635742e+00 3.241000000000000103e+00 3.825400000000000339e-05
3.329616328449684026e+00 2.788705110549926758e+00 3.351999999999999869e+00 4.508600000000000167e-05
2.887134930695674839e+00 2.338890075683593750e+00 3.813000000000000167e+00 6.712500000000000530e-05
3.013860433898075453e+00 2.484388828277587891e+00 3.447000000000000064e+00 4.672100000000000211e-05
2.991580876707856884e+00 2.408359289169311523e+00 3.358000000000000096e+00 3.646299999999999970e-05
2.528634034106258532e+00 2.078612804412841797e+00 3.521999999999999797e+00 4.158200000000000269e-05
2.901557710291804426e+00 2.376675367355346680e+00 3.468999999999999861e+00 4.097999999999999728e-05
3.601858141876364439e+00 2.954871177673339844e+00 4.030000000000000249e+00 7.783500000000000271e-05
4.111426776863443600e+00 3.203035354614257812e+00 3.306999999999999940e+00 4.254000000000000267e-05
4.097644181434667132e+00 3.063179254531860352e+00 2.927999999999999936e+00 2.896399999999999916e-05
3.847323940453910129e+00 3.181100845336914062e+00 3.532000000000000028e+00 5.222299999999999788e-05
3.372828163639215227e+00 2.660726308822631836e+00 3.088000000000000078e+00 2.832800000000000051e-05
3.846875332763247002e+00 3.044697523117065430e+00 3.003000000000000114e+00 3.252700000000000215e-05
3.699278949987716114e+00 2.841033697128295898e+00 3.241999999999999993e+00 2.645200000000000017e-05
3.354536356363573724e+00 2.565976142883300781e+00 3.060000000000000053e+00 2.401700000000000061e-05
3.202013057341221547e+00 2.551573276519775391e+00 3.068999999999999950e+00 2.613299999999999865e-05
3.685920626710360359e+00 3.046842813491821289e+00 3.387999999999999901e+00 6.608500000000000171e-05
3.598554407146610679e+00 2.820794820785522461e+00 3.197999999999999954e+00 2.433400000000000114e-05
3.180234412907039676e+00 2.584141254425048828e+00 3.688000000000000167e+00 6.996800000000000502e-05
3.847874218651037292e+00 3.002702236175537109e+00 3.104000000000000092e+00 4.188299999999999863e-05
4.116102031870344291e+00 3.178395748138427734e+00 3.036000000000000032e+00 2.688599999999999974e-05
3.820976361294631030e+00 2.935281276702880859e+00 3.130999999999999783e+00 2.938800000000000052e-05
2.890358744788583678e+00 2.331037282943725586e+00 3.132000000000000117e+00 2.719400000000000086e-05
2.736008321048194247e+00 2.199551343917846680e+00 3.279999999999999805e+00 3.859600000000000113e-05
2.977542757887523983e+00 2.430040121078491211e+00 3.303999999999999826e+00 4.663599999999999869e-05
3.063310965454996815e+00 2.563420534133911133e+00 3.713000000000000078e+00 7.143399999999999403e-05
3.089969624473781984e+00 2.453501462936401367e+00 3.850999999999999979e+00 8.714300000000000236e-05
3.187188060283452362e+00 2.601265430450439453e+00 3.821000000000000174e+00 7.314699999999999609e-05
3.211442311593582843e+00 2.682681322097778320e+00 2.975000000000000089e+00 2.721799999999999927e-05
3.794214104116490294e+00 3.162278890609741211e+00 3.944999999999999840e+00 6.394800000000000506e-05
