# Nygaard Kirkwood HullRad SAXS_weights
5.410128143403946765e+00 4.229151248931884766e+00 5.266000000000000014e+00 3.288900000000000308e-05
5.295982358332122608e+00 4.279097080230712891e+00 5.554999999999999716e+00 4.453799999999999946e-05
5.484940027840075061e+00 4.203964233398437500e+00 6.615999999999999659e+00 7.390599999999999340e-05
5.783797940897799528e+00 4.426711559295654297e+00 5.849000000000000199e+00 3.635900000000000205e-05
5.479717196819341218e+00 4.450137615203857422e+00 5.538999999999999702e+00 2.226999999999999854e-05
5.444946288624924691e+00 4.458973407745361328e+00 5.371999999999999886e+00 3.417499999999999721e-05
6.074493888334295377e+00 4.969793319702148438e+00 5.608999999999999986e+00 1.968300000000000111e-05
6.613186246582752226e+00 4.781052589416503906e+00 6.269000000000000128e+00 2.976800000000000027e-05
6.686182240361674189e+00 4.960260868072509766e+00 6.379999999999999893e+00 7.503000000000000500e-05
6.879223511047581674e+00 5.177768707275390625e+00 5.825000000000000178e+00 3.065799999999999683e-05
6.874463460992584984e+00 5.284478664398193359e+00 5.637999999999999901e+00 4.745900000000000081e-05
6.934815419652233359e+00 5.158976554870605469e+00 6.307000000000000384e+00 5.221000000000000326e-05
6.561563475755147756e+00 4.841811656951904297e+00 6.230000000000000426e+00 7.618099999999999449e-05
6.495270083922581428e+00 4.932364940643310547e+00 6.421999999999999709e+00 3.867799999999999797e-05
6.681693997447541555e+00 5.078933238983154297e+00 6.397000000000000242e+00 5.481899999999999810e-05
6.900871045410132076e+00 5.032563209533691406e+00 5.339000000000000412e+00 1.909700000000000029e-05
6.919032450931128508e+00 5.078035831451416016e+00 6.750000000000000000e+00 6.787900000000000520e-05
6.912252092080760413e+00 4.961779117584228516e+00 6.854000000000000092e+00 8.395099999999999633e-05
6.634487934889277128e+00 4.464044570922851562e+00 7.418000000000000149e+00 1.961900000000000037e-04
6.456445734730491992e+00 4.592943668365478516e+00 7.243999999999999773e+00 1.016000000000000030e-04
6.047618139789988412e+00 4.555919170379638672e+00 7.144000000000000128e+00 1.169100000000000038e-04
5.884674420448505749e+00 4.677485466003417969e+00 7.506999999999999673e+00 1.197499999999999970e-04
5.330300723919888739e+00 4.310771942138671875e+00 6.900000000000000355e+00 5.566800000000000302e-05
5.084378550689481635e+00 4.008986949920654297e+00 6.834999999999999964e+00 7.595600000000000257e-05
5.626193904157544168e+00 4.212567806243896484e+00 6.347000000000000419e+00 1.096400000000000006e-04
5.681857695092419114e+00 4.205568790435791016e+00 6.006000000000000227e+00 6.350800000000000249e-05
5.434820892965155359e+00 4.235590934753417969e+00 5.616999999999999993e+00 3.982600000000000121e-05
4.830647374690070883e+00 3.916886091232299805e+00 5.871999999999999886e+00 4.291700000000000262e-05
5.502142092804043649e+00 4.563595294952392578e+00 6.057000000000000384e+00 2.901799999999999898e-05
5.661314068345293826e+00 4.370764255523681641e+00 5.817999999999999616e+00 2.184900000000000037e-05
6.026589853401497443e+00 4.641832828521728516e+00 5.548000000000000043e+00 1.985499999999999879e-05
6.050124306444905287e+00 4.867989540100097656e+00 5.153999999999999915e+00 4.295700000000000224e-05
5.845828074079884473e+00 4.511243343353271484e+00 5.509999999999999787e+00 3.576600000000000281e-05
5.739382356814298092e+00 4.677695751190185547e+00 5.849999999999999645e+00 2.296300000000000020e-05
5.163342125853326969e+00 4.260491847991943359e+00 5.971000000000000085e+00 5.688800000000000150e-05
4.995803450480321040e+00 4.045654296875000000e+00 6.008000000000000007e+00 5.254399999999999701e-05
4.936123858323190561e+00 4.224835872650146484e+00 5.421000000000000263e+00 2.651900000000000139e-05
4.893156626102553197e+00 4.126131534576416016e+00 5.602000000000000313e+00 4.436900000000000159e-05
5.044058410553635241e+00 4.047922134399414062e+00 6.060999999999999943e+00 7.893000000000000493e-05
5.214281568517717069e+00 4.525599479675292969e+00 6.038999999999999702e+00 5.846100000000000152e-05
5.166215165918297103e+00 4.289873600006103516e+00 6.349999999999999645e+00 6.028700000000000064e-05
5.047216339972919741e+00 4.179230213165283203e+00 5.842999999999999972e+00 6.233799999999999845e-05
4.742465068014408480e+00 3.815882444381713867e+00 6.041000000000000369e+00 4.609799999999999808e-05
4.852941096820523548e+00 4.070554733276367188e+00 5.243000000000000327e+00 2.228399999999999874e-05
4.494602071599244297e+00 3.587344646453857422e+00 5.717999999999999972e+00 3.713899999999999797e-05
4.353910282756133121e+00 3.589554786682128906e+00 5.810999999999999943e+00 2.383500000000000134e-05
4.312324825045328325e+00 3.677088022232055664e+00 6.158999999999999808e+00 6.067400000000000218e-05
4.377929015695239734e+00 3.664410829544067383e+00 6.650999999999999801e+00 3.854000000000000031e-05
4.071185139931336572e+00 3.361954927444458008e+00 5.703000000000000291e+00 4.451199999999999666e-05
4.096163814743219334e+00 3.357302904129028320e+00 6.107999999999999652e+00 5.683099999999999849e-05
4.021688034527401534e+00 3.353873014450073242e+00 5.799000000000000377e+00 2.750000000000000098e-05
4.591683335050783299e+00 3.876181840896606445e+00 5.564000000000000057e+00 3.070700000000000263e-05
4.628270936690440429e+00 3.768422842025756836e+00 5.413999999999999702e+00 2.839300000000000073e-05
4.453971685763863597e+00 3.741464376449584961e+00 6.056000000000000050e+00 5.309099999999999703e-05
4.412123003845445979e+00 3.806413412094116211e+00 5.785999999999999588e+00 2.142900000000000100e-05
4.294919057777004667e+00 3.674178123474121094e+00 6.429999999999999716e+00 3.749499999999999930e-05
4.194939275473985596e+00 3.516160488128662109e+00 6.759000000000000341e+00 2.622299999999999948e-05
4.119004525540275630e+00 3.307151794433593750e+00 5.849999999999999645e+00 1.442300000000000065e-05
4.861551791607078954e+00 4.173460960388183594e+00 6.033000000000000362e+00 3.238599999999999791e-05
4.934465381025280983e+00 4.132592201232910156e+00 5.841999999999999638e+00 6.390699999999999647e-05
5.524923537719582889e+00 4.525054454803466797e+00 6.036999999999999922e+00 2.930900000000000009e-05
6.083308997190560063e+00 4.982966899871826172e+00 5.775000000000000355e+00 1.576699999999999998e-05
5.849070502394719817e+00 4.642561435699462891e+00 5.527000000000000135e+00 2.101000000000000044e-05
5.766057555924168909e+00 4.727293491363525391e+00 6.019000000000000128e+00 3.632200000000000223e-05
5.355634199827070674e+00 4.335963249206542969e+00 6.365000000000000213e+00 2.380400000000000113e-05
5.000145272463331736e+00 4.077223777770996094e+00 5.714999999999999858e+00 1.908500000000000108e-05
5.890472239355349693e+00 4.726584434509277344e+00 4.831999999999999851e+00 2.316900000000000128e-05
6.180868536287023929e+00 5.025211334228515625e+00 4.847999999999999865e+00 4.428000000000000295e-05
6.324572911724961166e+00 5.233829498291015625e+00 5.264999999999999680e+00 4.250999999999999788e-05
5.989022436039755704e+00 5.036702632904052734e+00 5.193999999999999950e+00 3.699699999999999831e-05
5.507555412100795245e+00 4.717747211456298828e+00 5.661999999999999922e+00 4.615200000000000129e-05
5.178989831230558671e+00 4.448812961578369141e+00 4.958999999999999631e+00 1.941799999999999942e-05
5.001785641868741195e+00 4.278285980224609375e+00 4.791000000000000369e+00 6.912999999999999712e-06
4.858940085962120570e+00 3.988682031631469727e+00 5.673000000000000043e+00 4.043699999999999926e-05
4.696479562348104153e+00 3.888470888137817383e+00 4.947000000000000064e+00 9.818599999999999472e-06
4.419600538785717347e+00 3.679290294647216797e+00 5.394000000000000128e+00 8.862700000000000712e-06
4.642461639208901758e+00 3.879410743713378906e+00 5.272000000000000242e+00 1.622800000000000116e-05
4.522523973057468893e+00 3.816339492797851562e+00 5.288999999999999702e+00 3.424299999999999724e-05
4.459120635616574013e+00 3.672136306762695312e+00 5.554000000000000270e+00 2.360900000000000046e-05
4.938390924906307156e+00 4.011772155761718750e+00 5.498999999999999666e+00 3.007900000000000119e-05
5.789807217747982904e+00 4.494239807128906250e+00 5.799999999999999822e+00 4.798899999999999743e-05
5.563709452865585270e+00 4.183888912200927734e+00 5.963000000000000078e+00 6.358400000000000651e-05
5.023605161892764848e+00 3.997839212417602539e+00 6.136000000000000121e+00 6.048699999999999872e-05
5.518939629400919422e+00 4.435842037200927734e+00 5.887999999999999901e+00 1.987099999999999999e-05
5.669116366457691569e+00 4.537066459655761719e+00 5.932000000000000384e+00 5.836900000000000308e-05
5.794540950559463610e+00 4.767468929290771484e+00 5.567000000000000171e+00 2.358600000000000084e-05
5.816260524009766009e+00 5.025901794433593750e+00 5.525999999999999801e+00 3.907800000000000092e-05
5.215297171640619567e+00 4.435215950012207031e+00 5.693999999999999950e+00 5.499000000000000036e-05
4.958510022094579028e+00 4.232963562011718750e+00 5.615000000000000213e+00 3.321499999999999962e-05
5.165065985508167756e+00 4.269746780395507812e+00 5.846000000000000085e+00 4.678500000000000014e-05
5.362166503154506714e+00 4.193379402160644531e+00 6.435999999999999943e+00 7.097500000000000401e-05
5.270320062412752193e+00 4.048537254333496094e+00 6.102999999999999758e+00 7.132100000000000375e-05
4.966999206041124992e+00 4.156354427337646484e+00 6.261999999999999567e+00 6.618600000000000633e-05
4.899929207891899452e+00 4.029211997985839844e+00 5.969000000000000306e+00 3.936399999999999784e-05
5.239522186554113503e+00 4.293545722961425781e+00 5.974999999999999645e+00 3.999199999999999928e-05
5.248224602704987696e+00 4.228430271148681641e+00 5.958000000000000185e+00 5.046000000000000138e-05
4.925551925528671937e+00 4.079467296600341797e+00 5.871999999999999886e+00 2.890099999999999993e-05
5.341689625342045389e+00 4.347747802734375000e+00 5.910999999999999588e+00 4.597699999999999704e-05
5.835687262193170355e+00 4.369289875030517578e+00 6.945999999999999730e+00 8.847700000000000009e-05
6.093653788734822996e+00 4.652202606201171875e+00 6.961000000000000298e+00 6.339200000000000564e-05
6.046708831203511991e+00 4.677924633026123047e+00 6.610000000000000320e+00 8.760100000000000373e-05
5.776687717297130042e+00 4.547071933746337891e+00 6.373999999999999666e+00 5.223499999999999709e-05
5.860347611210275254e+00 4.643694400787353516e+00 5.790000000000000036e+00 5.369500000000000005e-05
6.171245177855126052e+00 4.793007850646972656e+00 5.525000000000000355e+00 3.948799999999999869e-05
6.396729569329285603e+00 5.210729122161865234e+00 5.729000000000000092e+00 4.601300000000000144e-05
5.912830301264095922e+00 4.651918888092041016e+00 6.373000000000000220e+00 1.304300000000000099e-04
5.598819486720111982e+00 4.508590698242187500e+00 6.144999999999999574e+00 8.367999999999999842e-05
5.900563847993075761e+00 4.769129753112792969e+00 6.264999999999999680e+00 5.266400000000000264e-05
6.304392752811160960e+00 4.708785057067871094e+00 5.873000000000000220e+00 3.427199999999999984e-05
6.511358334324691910e+00 5.002427101135253906e+00 5.897999999999999687e+00 4.100100000000000267e-05
6.555027463258525700e+00 4.834078788757324219e+00 5.963000000000000078e+00 6.064300000000000197e-05
6.216736264908441001e+00 5.023576259613037109e+00 5.884999999999999787e+00 2.889500000000000033e-05
6.350106844192219491e+00 5.146230220794677734e+00 5.998000000000000220e+00 1.051100000000000016e-04
6.250347922069037665e+00 4.715962886810302734e+00 5.895999999999999908e+00 8.005599999999999381e-05
6.136447154230294743e+00 5.053152084350585938e+00 5.657000000000000028e+00 2.460600000000000124e-05
5.998642722026387375e+00 4.763614654541015625e+00 5.607999999999999652e+00 4.851799999999999863e-05
6.078138603846026555e+00 4.897701263427734375e+00 5.626000000000000334e+00 7.683799999999999853e-05
6.294256781319417904e+00 5.267155647277832031e+00 5.546999999999999709e+00 5.417599999999999765e-05
6.124354389609083960e+00 5.252583503723144531e+00 5.576999999999999957e+00 4.519499999999999673e-05
5.406599485844256314e+00 4.710258483886718750e+00 5.727999999999999758e+00 6.785400000000000459e-05
